Travel_ID;Pos;FlightNo;BookingDate;Price;Currency_code
1;1;LH644;2027-03-05;861.00;EUR
1;2;LH979;2027-03-05;120.00;EUR
1;3;AF742;2027-03-05;662.00;EUR
2;1;OS727;2026-11-18;290.00;EUR
2;2;AF756;2026-11-18;408.00;EUR
2;3;OS585;2026-11-18;1090.00;EUR
2;4;AF365;2026-11-18;949.00;EUR
3;1;BA419;2027-02-13;288.00;CHF
3;2;LH704;2027-02-13;479.00;CHF
3;3;AZ628;2027-02-13;662.00;CHF
4;1;AZ279;2027-02-07;884.00;EUR
4;2;OS971;2027-02-07;583.00;EUR
4;3;LH753;2027-02-07;992.00;EUR
4;4;OS143;2027-02-07;580.00;EUR
5;1;AZ587;2027-02-14;925.00;EUR
6;1;LH696;2026-09-15;866.00;EUR
6;2;AZ943;2026-09-15;264.00;EUR
6;3;OS235;2026-09-15;1100.00;EUR
6;4;AZ812;2026-09-15;429.00;EUR
7;1;BA687;2027-02-03;452.00;EUR
8;1;BA322;2026-10-26;587.00;EUR
8;2;AZ482;2026-10-26;1260.00;EUR
9;1;OS996;2027-03-07;603.00;USD
10;1;AZ929;2027-03-03;271.00;CHF
10;2;BA640;2027-03-03;1076.00;CHF
10;3;AZ786;2027-03-03;858.00;CHF
10;4;LH956;2027-03-03;1275.00;CHF
11;1;AF934;2027-02-13;481.00;GBP
11;2;BA286;2027-02-13;1370.00;GBP
12;1;BA479;2027-03-04;1075.00;USD
12;2;AZ142;2027-03-04;254.00;USD
12;3;BA378;2027-03-04;1075.00;USD
12;4;AF710;2027-03-04;190.00;USD
13;1;BA590;2027-02-14;600.00;EUR
14;1;LH548;2027-02-28;1321.00;EUR
14;2;OS725;2027-02-28;554.00;EUR
14;3;BA414;2027-02-28;1241.00;EUR
14;4;BA543;2027-02-28;1279.00;EUR
15;1;AF766;2026-11-19;173.00;EUR
15;2;AZ170;2026-11-19;191.00;EUR
15;3;LH231;2026-11-19;773.00;EUR
16;1;AF884;2026-12-30;637.00;EUR
16;2;AZ192;2026-12-30;803.00;EUR
16;3;OS198;2026-12-30;280.00;EUR
16;4;BA355;2026-12-30;194.00;EUR
17;1;OS120;2026-12-25;632.00;CHF
18;1;AF509;2027-01-03;266.00;EUR
19;1;LH956;2026-11-23;278.00;GBP
19;2;LH204;2026-11-23;886.00;GBP
20;1;AZ858;2027-02-12;163.00;EUR
21;1;AF901;2027-02-01;745.00;USD
22;1;OS333;2027-02-01;191.00;GBP
22;2;LH749;2027-02-01;172.00;GBP
22;3;AZ548;2027-02-01;1379.00;GBP
23;1;LH923;2027-02-20;466.00;GBP
23;2;LH835;2027-02-20;354.00;GBP
24;1;AZ446;2026-10-12;1348.00;EUR
25;1;OS260;2026-12-17;1066.00;EUR
26;1;LH708;2026-10-18;407.00;EUR
27;1;AZ194;2027-01-14;702.00;EUR
27;2;LH289;2027-01-14;1116.00;EUR
27;3;LH776;2027-01-14;871.00;EUR
28;1;AF845;2027-03-30;661.00;EUR
28;2;AZ965;2027-03-30;222.00;EUR
28;3;BA198;2027-03-30;291.00;EUR
28;4;BA986;2027-03-30;444.00;EUR
29;1;AZ909;2027-02-20;1354.00;CHF
30;1;BA178;2026-11-10;1308.00;GBP
30;2;AF697;2026-11-10;1011.00;GBP
30;3;OS297;2026-11-10;1344.00;GBP
30;4;AF695;2026-11-10;959.00;GBP
31;1;BA527;2027-01-30;382.00;USD
31;2;AZ792;2027-01-30;438.00;USD
31;3;BA145;2027-01-30;621.00;USD
32;1;OS493;2027-01-30;529.00;EUR
33;1;AZ682;2026-10-29;1263.00;EUR
34;1;AZ435;2026-12-14;623.00;USD
34;2;AF969;2026-12-14;1018.00;USD
35;1;LH577;2026-12-23;367.00;GBP
36;1;OS898;2027-01-14;883.00;GBP
37;1;AZ925;2027-02-12;837.00;GBP
37;2;AF409;2027-02-12;1106.00;GBP
37;3;BA949;2027-02-12;440.00;GBP
38;1;BA695;2027-01-23;453.00;EUR
39;1;OS410;2026-09-28;689.00;EUR
39;2;OS361;2026-09-28;969.00;EUR
40;1;AF302;2027-02-14;698.00;USD
40;2;LH268;2027-02-14;1200.00;USD
40;3;BA824;2027-02-14;437.00;USD
40;4;AF981;2027-02-14;1339.00;USD
41;1;BA905;2026-12-28;990.00;EUR
41;2;BA421;2026-12-28;405.00;EUR
41;3;AF188;2026-12-28;1213.00;EUR
41;4;AZ121;2026-12-28;765.00;EUR
42;1;AF562;2026-10-30;1230.00;GBP
42;2;LH522;2026-10-30;428.00;GBP
42;3;AZ504;2026-10-30;210.00;GBP
43;1;BA216;2026-12-30;1400.00;EUR
43;2;AF872;2026-12-30;515.00;EUR
43;3;AZ597;2026-12-30;507.00;EUR
43;4;LH129;2026-12-30;933.00;EUR
44;1;AZ676;2026-12-28;471.00;GBP
44;2;LH496;2026-12-28;352.00;GBP
44;3;OS802;2026-12-28;1028.00;GBP
44;4;LH410;2026-12-28;1315.00;GBP
45;1;OS959;2027-01-24;713.00;USD
45;2;AF283;2027-01-24;1387.00;USD
45;3;OS537;2027-01-24;1343.00;USD
45;4;AZ614;2027-01-24;164.00;USD
46;1;OS462;2026-12-03;783.00;USD
46;2;AZ111;2026-12-03;391.00;USD
46;3;LH831;2026-12-03;775.00;USD
46;4;OS450;2026-12-03;666.00;USD
47;1;AF475;2026-10-01;568.00;USD
47;2;LH126;2026-10-01;694.00;USD
48;1;AF584;2027-02-06;373.00;USD
48;2;OS300;2027-02-06;711.00;USD
48;3;AZ825;2027-02-06;294.00;USD
48;4;OS642;2027-02-06;712.00;USD
49;1;AF877;2027-01-31;142.00;EUR
49;2;LH363;2027-01-31;830.00;EUR
49;3;OS327;2027-01-31;475.00;EUR
50;1;BA156;2026-12-17;701.00;EUR
50;2;OS153;2026-12-17;952.00;EUR
50;3;BA501;2026-12-17;415.00;EUR
50;4;LH805;2026-12-17;726.00;EUR
51;1;BA175;2027-02-20;319.00;GBP
51;2;LH200;2027-02-20;492.00;GBP
51;3;AZ430;2027-02-20;278.00;GBP
51;4;AF350;2027-02-20;273.00;GBP
52;1;AF944;2027-01-14;128.00;CHF
52;2;BA749;2027-01-14;912.00;CHF
52;3;AF933;2027-01-14;658.00;CHF
53;1;LH141;2027-01-14;767.00;EUR
54;1;AZ873;2026-11-21;623.00;EUR
54;2;AZ541;2026-11-21;153.00;EUR
55;1;AZ658;2027-02-07;351.00;EUR
55;2;BA464;2027-02-07;745.00;EUR
55;3;BA184;2027-02-07;129.00;EUR
55;4;AZ685;2027-02-07;376.00;EUR
56;1;BA728;2026-11-21;154.00;GBP
56;2;AF777;2026-11-21;990.00;GBP
56;3;LH432;2026-11-21;410.00;GBP
56;4;BA180;2026-11-21;1333.00;GBP
57;1;OS929;2026-12-17;1064.00;CHF
58;1;AF256;2027-01-20;125.00;EUR
58;2;OS395;2027-01-20;913.00;EUR
58;3;AF451;2027-01-20;224.00;EUR
59;1;LH314;2027-03-25;674.00;CHF
59;2;LH355;2027-03-25;1140.00;CHF
59;3;AZ273;2027-03-25;373.00;CHF
59;4;LH700;2027-03-25;303.00;CHF
60;1;AZ203;2026-09-27;228.00;USD
60;2;BA896;2026-09-27;438.00;USD
60;3;AZ599;2026-09-27;423.00;USD
61;1;OS120;2027-01-22;796.00;USD
61;2;LH845;2027-01-22;864.00;USD
61;3;BA694;2027-01-22;370.00;USD
61;4;LH652;2027-01-22;750.00;USD
62;1;LH905;2026-10-12;171.00;EUR
62;2;LH919;2026-10-12;173.00;EUR
62;3;OS836;2026-10-12;1313.00;EUR
62;4;BA761;2026-10-12;328.00;EUR
63;1;LH369;2026-10-04;570.00;USD
63;2;AZ783;2026-10-04;1245.00;USD
63;3;LH911;2026-10-04;642.00;USD
64;1;BA600;2026-12-17;921.00;CHF
64;2;AZ440;2026-12-17;203.00;CHF
65;1;LH701;2027-03-04;1371.00;EUR
66;1;OS950;2027-03-21;467.00;EUR
66;2;AZ197;2027-03-21;1217.00;EUR
66;3;OS970;2027-03-21;506.00;EUR
67;1;AF853;2026-09-15;508.00;EUR
67;2;BA612;2026-09-15;383.00;EUR
68;1;AF988;2026-09-18;182.00;EUR
68;2;AF674;2026-09-18;790.00;EUR
69;1;BA850;2027-02-19;279.00;EUR
69;2;BA489;2027-02-19;428.00;EUR
70;1;BA739;2026-09-23;1019.00;EUR
71;1;AZ734;2027-02-09;478.00;EUR
72;1;OS189;2026-12-05;1068.00;GBP
72;2;LH867;2026-12-05;299.00;GBP
72;3;AF780;2026-12-05;1101.00;GBP
72;4;OS736;2026-12-05;439.00;GBP
73;1;AZ677;2026-10-20;1374.00;USD
73;2;OS493;2026-10-20;525.00;USD
73;3;LH830;2026-10-20;1396.00;USD
74;1;AZ959;2027-02-04;643.00;EUR
74;2;AZ236;2027-02-04;534.00;EUR
75;1;AZ555;2027-02-19;786.00;EUR
76;1;AZ505;2026-11-13;457.00;EUR
76;2;OS637;2026-11-13;1144.00;EUR
77;1;LH717;2026-11-15;588.00;EUR
77;2;OS580;2026-11-15;835.00;EUR
78;1;AF379;2026-12-19;1096.00;CHF
79;1;AF357;2027-03-30;285.00;USD
79;2;LH421;2027-03-30;623.00;USD
80;1;AZ404;2027-03-10;266.00;USD
80;2;LH263;2027-03-10;636.00;USD
81;1;AF571;2027-02-08;185.00;EUR
81;2;BA914;2027-02-08;1098.00;EUR
81;3;AZ456;2027-02-08;316.00;EUR
82;1;AF562;2026-11-06;598.00;EUR
82;2;OS828;2026-11-06;1304.00;EUR
82;3;OS215;2026-11-06;559.00;EUR
83;1;OS192;2026-11-06;1339.00;EUR
83;2;LH833;2026-11-06;138.00;EUR
84;1;LH786;2027-02-06;1070.00;EUR
84;2;BA988;2027-02-06;136.00;EUR
84;3;AZ221;2027-02-06;179.00;EUR
85;1;AZ526;2026-12-03;307.00;EUR
85;2;AZ369;2026-12-03;1231.00;EUR
86;1;AZ764;2026-10-12;686.00;USD
86;2;BA291;2026-10-12;574.00;USD
87;1;AZ999;2026-10-06;1308.00;USD
88;1;BA363;2027-01-28;895.00;GBP
88;2;AF186;2027-01-28;860.00;GBP
88;3;OS728;2027-01-28;1287.00;GBP
88;4;OS490;2027-01-28;745.00;GBP
89;1;LH467;2027-03-07;538.00;CHF
89;2;OS130;2027-03-07;237.00;CHF
89;3;AZ954;2027-03-07;1391.00;CHF
89;4;AZ228;2027-03-07;130.00;CHF
90;1;BA989;2026-10-28;702.00;USD
90;2;AF459;2026-10-28;1391.00;USD
90;3;LH416;2026-10-28;548.00;USD
90;4;AZ795;2026-10-28;1183.00;USD
91;1;BA580;2026-12-18;1348.00;EUR
91;2;AZ104;2026-12-18;438.00;EUR
92;1;OS803;2026-10-16;363.00;USD
93;1;AF795;2026-09-20;485.00;GBP
94;1;AF650;2027-02-16;1084.00;EUR
94;2;BA384;2027-02-16;131.00;EUR
94;3;AZ521;2027-02-16;747.00;EUR
95;1;BA793;2026-10-28;950.00;EUR
95;2;AF918;2026-10-28;738.00;EUR
96;1;AZ820;2026-11-19;1154.00;GBP
97;1;BA496;2026-11-23;720.00;EUR
97;2;OS594;2026-11-23;613.00;EUR
97;3;AZ485;2026-11-23;704.00;EUR
97;4;LH509;2026-11-23;941.00;EUR
98;1;OS985;2026-11-19;1093.00;EUR
99;1;BA542;2026-09-16;1162.00;GBP
100;1;AZ890;2027-01-22;584.00;EUR
101;1;AF129;2026-11-11;165.00;CHF
101;2;AZ964;2026-11-11;883.00;CHF
101;3;OS730;2026-11-11;995.00;CHF
101;4;LH128;2026-11-11;920.00;CHF
102;1;BA614;2026-10-26;712.00;EUR
102;2;OS448;2026-10-26;1016.00;EUR
102;3;AZ663;2026-10-26;859.00;EUR
103;1;LH458;2026-11-19;476.00;EUR
103;2;AF524;2026-11-19;1028.00;EUR
104;1;LH509;2026-10-06;701.00;EUR
105;1;AZ165;2027-03-22;1262.00;EUR
105;2;BA161;2027-03-22;534.00;EUR
105;3;AF399;2027-03-22;408.00;EUR
106;1;OS522;2027-01-15;134.00;GBP
106;2;AF894;2027-01-15;202.00;GBP
106;3;AZ470;2027-01-15;130.00;GBP
106;4;AZ219;2027-01-15;887.00;GBP
107;1;AZ835;2026-10-07;714.00;GBP
108;1;AZ276;2026-12-22;876.00;EUR
109;1;AF265;2027-01-14;485.00;EUR
110;1;OS205;2026-11-07;979.00;CHF
110;2;LH780;2026-11-07;1099.00;CHF
111;1;OS338;2027-02-06;345.00;EUR
111;2;OS917;2027-02-06;1084.00;EUR
111;3;AZ672;2027-02-06;175.00;EUR
111;4;BA779;2027-02-06;1064.00;EUR
112;1;LH982;2027-03-12;1152.00;USD
112;2;OS119;2027-03-12;902.00;USD
113;1;AZ855;2027-01-28;483.00;USD
114;1;AZ140;2027-02-09;596.00;EUR
114;2;AZ528;2027-02-09;762.00;EUR
115;1;OS490;2027-03-21;671.00;EUR
115;2;AF387;2027-03-21;558.00;EUR
115;3;AF138;2027-03-21;497.00;EUR
116;1;LH576;2027-02-09;393.00;EUR
116;2;AF786;2027-02-09;640.00;EUR
116;3;LH772;2027-02-09;1374.00;EUR
117;1;OS160;2026-11-16;1097.00;EUR
117;2;LH774;2026-11-16;532.00;EUR
118;1;AZ828;2026-12-20;1260.00;CHF
119;1;AZ522;2026-10-26;321.00;CHF
119;2;LH699;2026-10-26;644.00;CHF
119;3;LH937;2026-10-26;1133.00;CHF
120;1;LH645;2026-12-09;274.00;EUR
121;1;AZ135;2027-03-30;1185.00;EUR
121;2;AF687;2027-03-30;297.00;EUR
121;3;AF570;2027-03-30;371.00;EUR
122;1;OS773;2026-12-19;301.00;EUR
122;2;BA248;2026-12-19;1276.00;EUR
122;3;LH150;2026-12-19;472.00;EUR
122;4;AF126;2026-12-19;320.00;EUR
123;1;LH740;2026-12-04;1390.00;EUR
123;2;OS317;2026-12-04;759.00;EUR
124;1;AZ486;2027-01-27;678.00;GBP
124;2;OS816;2027-01-27;1045.00;GBP
125;1;BA583;2027-04-01;586.00;EUR
125;2;BA838;2027-04-01;677.00;EUR
125;3;AZ531;2027-04-01;998.00;EUR
126;1;AF377;2026-11-21;1012.00;EUR
126;2;AF725;2026-11-21;1163.00;EUR
126;3;AZ894;2026-11-21;1342.00;EUR
126;4;LH514;2026-11-21;145.00;EUR
127;1;BA177;2026-10-06;1035.00;EUR
127;2;OS730;2026-10-06;480.00;EUR
127;3;AF117;2026-10-06;536.00;EUR
127;4;AZ341;2026-10-06;1368.00;EUR
128;1;OS883;2027-02-26;665.00;EUR
129;1;AZ945;2026-12-20;1269.00;EUR
129;2;LH931;2026-12-20;125.00;EUR
130;1;BA789;2026-10-23;1076.00;EUR
131;1;AF137;2027-03-02;279.00;EUR
131;2;OS647;2027-03-02;951.00;EUR
132;1;OS192;2027-01-15;275.00;EUR
132;2;AZ654;2027-01-15;213.00;EUR
132;3;OS820;2027-01-15;419.00;EUR
132;4;BA576;2027-01-15;518.00;EUR
133;1;BA925;2026-11-05;854.00;GBP
133;2;OS369;2026-11-05;749.00;GBP
133;3;LH121;2026-11-05;483.00;GBP
133;4;AZ725;2026-11-05;382.00;GBP
134;1;AZ124;2026-11-15;278.00;GBP
134;2;AF499;2026-11-15;498.00;GBP
134;3;AZ819;2026-11-15;460.00;GBP
134;4;AF640;2026-11-15;395.00;GBP
135;1;AZ598;2027-02-26;1209.00;EUR
136;1;OS346;2026-12-26;1045.00;GBP
136;2;AZ337;2026-12-26;1314.00;GBP
136;3;AF119;2026-12-26;447.00;GBP
136;4;OS199;2026-12-26;884.00;GBP
137;1;AF110;2026-12-30;1242.00;EUR
138;1;AZ313;2027-03-14;763.00;USD
138;2;BA322;2027-03-14;1374.00;USD
138;3;AF531;2027-03-14;1170.00;USD
