ID;Name;City;Country_code
1;Alpine Escapes;Innsbruck;AT
2;Wiener Reisen;Vienna;AT
3;Danube Travel;Linz;AT
4;Berlin Wanderlust;Berlin;DE
5;Bayern Tours;Munich;DE
6;Hanse Voyages;Hamburg;DE
7;Rheinblick Reisen;Cologne;DE
8;Matterhorn Trips;Zurich;CH
9;Léman Voyages;Geneva;CH
10;Thames Journeys;London;GB
11;Highland Routes;Edinburgh;GB
12;Liberty Travel Co;New York;US
13;Golden Gate Tours;San Francisco;US
14;Windy City Trips;Chicago;US
15;Seine Escapades;Paris;FR
16;Provence Voyages;Marseille;FR
17;Bella Italia Tours;Rome;IT
18;Laguna Viaggi;Venice;IT
19;Sol y Playa;Barcelona;ES
20;Madrid Descubre;Madrid;ES
